Time, in s	Altitude in m	Velocity in m/s
73.8	11563.9389145219	419.880952381
73.9	11598.4679467536	420.9523809524
74	11632.8370370434	422.0238095238
74.1	11667.155096082	423.0952380952
74.2	11701.5298828262	424.126984127
74.3	11736.0737558447	425.2380952381
74.4	11770.86855643	426.3095238095
74.5	11805.8308123292	427.380952381
74.6	11840.7539123524	428.4523809524
74.7	11875.4592582713	429.5238095238
74.8	11909.9375005769	430.5952380952
74.9	11944.2969471774	431.7063492064
75	11978.6327272843	432.7777777778
75.1	12013.0191201408	433.8492063492
75.2	12047.5650780477	434.9603174603
75.3	12082.3946963912	436.0714285714
75.4	12117.5301102279	437.1428571429
75.5	12152.8648877328	438.253968254
75.6	12188.2372204372	439.3650793651
75.7	12223.5616515369	440.4365079365
75.8	12258.8419651618	441.5873015873
75.9	12294.1162234697	442.6984126984
